"","Company","Project","Country","V1","ProComp"
"213","BG Group Ltd","Corporate","India",23502000,"BG Group Ltd Corporate"
"214","Tullow Oil PLC","Okume Complex","Equatorial Guinea",23185210,"Tullow Oil PLC Okume Complex"
"215","BP P.L.C.","KG D6  KG-DWN-98/3","India",23096126,"BP P.L.C. KG D6  KG-DWN-98/3"
"216","ROYAL DUTCH SHELL PLC","MUKHAIZNA PSC","Oman",23003630,"ROYAL DUTCH SHELL PLC MUKHAIZNA PSC"
"217","Glencore plc","Ontario Project - Corporate","Canada",22980000,"Glencore plc Ontario Project - Corporate"
"218","ROYAL DUTCH SHELL PLC","Non Core Assets","United States of America",22852354,"ROYAL DUTCH SHELL PLC Non Core Assets"
"219","BP P.L.C.","BM-POT-17 (POT-M-855)","Brazil",22140160,"BP P.L.C. BM-POT-17 (POT-M-855)"
"220","BG Group Ltd","La Vertiente","Bolivia, Plurinational State of",20713000,"BG Group Ltd La Vertiente"
"221","Tullow Oil PLC","Ezanga","Gabon",20706470,"Tullow Oil PLC Ezanga"
"222","BP P.L.C.","New Mexico","United States of America",20616796,"BP P.L.C. New Mexico"
"223","Glencore plc","New South Wales Project - Coking Coal","Australia",20278927,"Glencore plc New South Wales Project - Coking Coal"
"224","Nord Gold SE","Buryatzoloto JSC","Russian Federation",20239845,"Nord Gold SE Buryatzoloto JSC"
"225","JKX Oil & Gas plc","Novo-Nikolaevskoye Complex","Ukraine",20231000,"JKX Oil & Gas plc Novo-Nikolaevskoye Complex"
"226","Jardine Matheson Holdings Ltd","Kapuas, Central Kalimantan Project","Indonesia",20217187,"Jardine Matheson Holdings Ltd Kapuas, Central Kalimantan Project"
"227","Total Sa","Tahiti","United States of America",20037000,"Total Sa Tahiti"
"228","ROYAL DUTCH SHELL PLC","JINQIU+FUSHUN+ZITONG","China",19764309,"ROYAL DUTCH SHELL PLC JINQIU+FUSHUN+ZITONG"
"229","Total Sa","Baudroie Mérou CEPP","Gabon",19657000,"Total Sa Baudroie Mérou CEPP"
"230","BP P.L.C.","Wyoming","United States of America",19458376,"BP P.L.C. Wyoming"
"231","ROYAL DUTCH SHELL PLC","FOOTHILLS","Canada",19043663,"ROYAL DUTCH SHELL PLC FOOTHILLS"
"232","BP P.L.C.","South Belayim","Egypt",18822456,"BP P.L.C. South Belayim"
"233","Glencore plc","Catamarca Province Project - Minera Alumbrera","Argentina",18568000,"Glencore plc Catamarca Province Project - Minera Alumbrera"
"234","Total Sa","Avocette CEPP","Gabon",18466000,"Total Sa Avocette CEPP"
"235","Total Sa","Tengah PSC","Indonesia",18275000,"Total Sa Tengah PSC"
"236","Anglo American plc","Victor","Canada",18204578,"Anglo American plc Victor"
"237","Premier Oil Plc","Wytch Farm","United Kingdom of Great Britain and Northern Ireland",17363000,"Premier Oil Plc Wytch Farm"
"238","Anglo American plc","Foxleigh","Australia",17311163,"Anglo American plc Foxleigh"
"239","Petropavlovsk Plc","Albyn","Russian Federation",17277000,"Petropavlovsk Plc Albyn"
"240","Glencore plc","Potosi Project - Sinchi Wayra","Bolivia, Plurinational State of",16966000,"Glencore plc Potosi Project - Sinchi Wayra"
"241","Total Sa","CPP Tchendo 2","Congo",16858000,"Total Sa CPP Tchendo 2"
"242","Anglo American plc","Minas Rio","Brazil",16832673,"Anglo American plc Minas Rio"
"243","FRESNILLO PLC","Herradura / Nochebuena","Mexico",16629556,"FRESNILLO PLC Herradura / Nochebuena"
"244","ROYAL DUTCH SHELL PLC","ARGENTINA UNCONVENTIONAL PROJECTS","Argentina",16614713,"ROYAL DUTCH SHELL PLC ARGENTINA UNCONVENTIONAL PROJECTS"
"245","Rio Tinto PLC","DAMPIER SALT","Australia",16445186,"Rio Tinto PLC DAMPIER SALT"
"246","Anglo American plc","Callide","Australia",16221344,"Anglo American plc Callide"
"247","Total Sa","Block 53","Oman",16124000,"Total Sa Block 53"
"248","Hochschild Mining plc","Minera Santa Cruz S.A.","Argentina",16009036,"Hochschild Mining plc Minera Santa Cruz S.A."
"249","Glencore plc","Queensland Project - Ernest Henry Mine Copper","Australia",15888936,"Glencore plc Queensland Project - Ernest Henry Mine Copper"
"250","BP P.L.C.","Bruce","United Kingdom of Great Britain and Northern Ireland",15796325,"BP P.L.C. Bruce"
"251","Tullow Oil PLC","Tullow Oil Gabon SA","Gabon",15775329,"Tullow Oil PLC Tullow Oil Gabon SA"
"252","Glencore plc","Western Australian Project - Murrin Murrin Nickel","Australia",15575574,"Glencore plc Western Australian Project - Murrin Murrin Nickel"
"253","Total Sa","OML102 Ekanga (joint venture with NNPC, non operated)","Nigeria",15429000,"Total Sa OML102 Ekanga (joint venture with NNPC, non operated)"
"254","BP P.L.C.","Gulf of Mexico - Western","United States of America",15302293,"BP P.L.C. Gulf of Mexico - Western"
"255","JX Nippon Exploration and Production (U.K.) Limited","Magnus Project","United Kingdom of Great Britain and Northern Ireland",15156689,"JX Nippon Exploration and Production (U.K.) Limited Magnus Project"
"256","Tullow Oil PLC","M'boundi","Congo, the Democratic Republic of the",15127543,"Tullow Oil PLC M'boundi"
"257","Petropavlovsk Plc","Pioneer","Russian Federation",15006000,"Petropavlovsk Plc Pioneer"
"258","Total Sa","Litanzi & Tchibeli","Congo",15001000,"Total Sa Litanzi & Tchibeli"
"259","EQUION ENERGIA LIMITED","Recetor","Colombia",14892296,"EQUION ENERGIA LIMITED Recetor"
"260","EVRAZ PLC","Evraz Sukha Balka","Ukraine",13814238,"EVRAZ PLC Evraz Sukha Balka"
"261","BG Group Ltd","Central Block","Trinidad and Tobago",13751000,"BG Group Ltd Central Block"
"262","Vedanta Resources","HZL-Zawar Mine","India",13730000,"Vedanta Resources HZL-Zawar Mine"
"263","Glencore plc","Quebec Project - Raglan","Canada",13718000,"Glencore plc Quebec Project - Raglan"
"264","Nord Gold SE","Societe Miniere de Dinguiraye","Guinea",13599894,"Nord Gold SE Societe Miniere de Dinguiraye"
"265","ROYAL DUTCH SHELL PLC","NORTH EAST ABU GHARADIG (NEAG)","Egypt",13223246,"ROYAL DUTCH SHELL PLC NORTH EAST ABU GHARADIG (NEAG)"
"266","ROYAL DUTCH SHELL PLC","APPALACHIA","United States of America",13164884,"ROYAL DUTCH SHELL PLC APPALACHIA"
"267","Total Sa","CPP Haute Mer - Zone B","Congo",12990000,"Total Sa CPP Haute Mer - Zone B"
"268","Petrofac","Chergui","Tunisia",12863000,"Petrofac Chergui"
"269","Polymetal Intl Plc","Okhotsk","Russian Federation",12789000,"Polymetal Intl Plc Okhotsk"
"270","Anglo American plc","Drayton","Australia",12630585,"Anglo American plc Drayton"
"271","Glencore plc","Mpumalanga Province Project - Thermal Coal","South Africa",12608959,"Glencore plc Mpumalanga Province Project - Thermal Coal"
"272","Total Sa","Block 5","Yemen",12395000,"Total Sa Block 5"
"273","Premier Oil Plc","Corporate","Pakistan",12266000,"Premier Oil Plc Corporate"
"274","BP P.L.C.","Oklahoma","United States of America",11981828,"BP P.L.C. Oklahoma"
"275","PetroLatina Energy Ltd. (consolidated group)","Unallocated","Colombia",11946476,"PetroLatina Energy Ltd. (consolidated group) Unallocated"
"276","BP P.L.C.","East Morgan","Egypt",11755360,"BP P.L.C. East Morgan"
"277","BG Group Ltd","J Block / Jade","United Kingdom of Great Britain and Northern Ireland",11462000,"BG Group Ltd J Block / Jade"
"278","BP P.L.C.","South Gharib","Egypt",11316399,"BP P.L.C. South Gharib"
"279","Total Sa","Non-attributable","Gabon",11250000,"Total Sa Non-attributable"
"280","Anglo American plc","Corporate-Anglo American Minerio de Ferro Brasil S.A","Brazil",11144626,"Anglo American plc Corporate-Anglo American Minerio de Ferro Brasil S.A"
"281","Total Sa","Atora CEPP","Gabon",11140000,"Total Sa Atora CEPP"
"282","Petrofac","PM304","Malaysia",11078000,"Petrofac PM304"
"283","ROYAL DUTCH SHELL PLC","GREATER DEEP BASIN","Canada",10752205,"ROYAL DUTCH SHELL PLC GREATER DEEP BASIN"
"284","Polymetal Intl Plc","Mayskoye","Russian Federation",10668000,"Polymetal Intl Plc Mayskoye"
"285","Perenco (Oil & Gas) International Limited","1050","Turkey",10647390,"Perenco (Oil & Gas) International Limited 1050"
"286","Vedanta Resources","VGCB","India",10400000,"Vedanta Resources VGCB"
"287","BP P.L.C.","Block 24","Angola",10300000,"BP P.L.C. Block 24"
"288","Total Sa","Non-attributable","Netherlands",10172000,"Total Sa Non-attributable"
"289","Tullow Oil PLC","Ceiba","Equatorial Guinea",10006583,"Tullow Oil PLC Ceiba"
"290","Total Sa","Barnett Shale","United States of America",9966000,"Total Sa Barnett Shale"
"291","JKX Oil & Gas plc","Elizavetovskoye field","Ukraine",9932000,"JKX Oil & Gas plc Elizavetovskoye field"
"292","Nord Gold SE","FIC Alel JSC","Kazakhstan",9828257,"Nord Gold SE FIC Alel JSC"
"293","Tullow Oil PLC","Tchatamba","Gabon",9413126,"Tullow Oil PLC Tchatamba"
"294","EVRAZ PLC","Shakhta Uskovskaya","Russian Federation",9270566,"EVRAZ PLC Shakhta Uskovskaya"
"295","Anglo American plc","Kumba Iron Ore - Kolomela Mine","South Africa",9044338,"Anglo American plc Kumba Iron Ore - Kolomela Mine"
"296","Rio Tinto PLC","La Granja","Peru",8900000,"Rio Tinto PLC La Granja"
"297","Total Sa","Non-attributable","United Kingdom of Great Britain and Northern Ireland",8759000,"Total Sa Non-attributable"
"298","Total Sa","Block 10","Cyprus",8614000,"Total Sa Block 10"
"299","ROYAL DUTCH SHELL PLC","MAUI","New Zealand",8454316,"ROYAL DUTCH SHELL PLC MAUI"
"300","Randgold Resources","Société des Mines de Tongon SA","Cote d'Ivoire",8398068,"Randgold Resources Société des Mines de Tongon SA"
"301","Total Sa","Gulf of Mexico","United States of America",8200000,"Total Sa Gulf of Mexico"
"302","EVRAZ PLC","Shakhta Esaulskaya","Russian Federation",8150476,"EVRAZ PLC Shakhta Esaulskaya"
"303","Total Sa","Hylia II CEPP","Gabon",8062000,"Total Sa Hylia II CEPP"
"304","ROYAL DUTCH SHELL PLC","NORWAY  EXPLORATION PROJECTS","Norway",7999522,"ROYAL DUTCH SHELL PLC NORWAY  EXPLORATION PROJECTS"
"305","EnQuest PLC","Corporate","Malaysia",7766461,"EnQuest PLC Corporate"
"306","Tullow Oil PLC","Tullow Group Services Limited","United Kingdom of Great Britain and Northern Ireland",7712109,"Tullow Oil PLC Tullow Group Services Limited"
"307","Glencore plc","Karas Project - Rosh Pinah Mine","Namibia",7702000,"Glencore plc Karas Project - Rosh Pinah Mine"
"308","Vedanta Resources","HZL-RD Mine","India",7660000,"Vedanta Resources HZL-RD Mine"
"309","ROYAL DUTCH SHELL PLC","WEST QURNA","Iraq",7613250,"ROYAL DUTCH SHELL PLC WEST QURNA"
"310","Exillon Energy Plc","Zapadno-Khatayakhskoye oil field","Russian Federation",7555000,"Exillon Energy Plc Zapadno-Khatayakhskoye oil field"
"311","EVRAZ PLC","Raspadskaya","Russian Federation",7420159,"EVRAZ PLC Raspadskaya"
"312","BP P.L.C.","Skarv","Norway",7411968,"BP P.L.C. Skarv"
"313","Anglo American plc","Corporate-De Beers Consolidated Mines (Pty) Ltd","South Africa",7120734,"Anglo American plc Corporate-De Beers Consolidated Mines (Pty) Ltd"
"314","Vedanta Resources","VEDL-IO-Gadia Sodo","India",7110000,"Vedanta Resources VEDL-IO-Gadia Sodo"
"315","ROYAL DUTCH SHELL PLC","SABLE DEEPWATER","Canada",7047820,"ROYAL DUTCH SHELL PLC SABLE DEEPWATER"
"316","Nord Gold SE","Societe des Mines de Taparko","Burkina Faso",7039649,"Nord Gold SE Societe des Mines de Taparko"
"317","Anglo American plc","Corporate-Anglo American Norte S.A.","Chile",7032377,"Anglo American plc Corporate-Anglo American Norte S.A."
"318","FRESNILLO PLC","Fresnillo","Mexico",7008600,"FRESNILLO PLC Fresnillo"
"319","ROYAL DUTCH SHELL PLC","ALASKA EXPLORATION","United States of America",6882404,"ROYAL DUTCH SHELL PLC ALASKA EXPLORATION"
"320","Hochschild Mining plc","Compañía Minera Ares S.A.C.","Peru",6844616,"Hochschild Mining plc Compañía Minera Ares S.A.C."
"321","Polymetal Intl Plc","Lunnoye","Russian Federation",6560000,"Polymetal Intl Plc Lunnoye"
"322","Acacia Mining","Dar es Salaam corporate office","Tanzania, United Republic of",6516000,"Acacia Mining Dar es Salaam corporate office"
"323","Antofagasta plc","Inversiones Los Pelambres Ltda.","",6499000,"Antofagasta plc Inversiones Los Pelambres Ltda."
"324","EVRAZ PLC","Razrez Raspadskiy","Russian Federation",6450759,"EVRAZ PLC Razrez Raspadskiy"
"325","Perenco (Oil & Gas) International Limited","880","Turkey",6407278,"Perenco (Oil & Gas) International Limited 880"
"326","Rio Tinto PLC","EXPLORATION - PERU","Peru",6197462,"Rio Tinto PLC EXPLORATION - PERU"
"327","Anglo American plc","Kumba Iron Ore - Sishen Mine","South Africa",6169250,"Anglo American plc Kumba Iron Ore - Sishen Mine"
"328","Glencore plc","Jujuy Province Project - Minera Aguilar / AR Zinc","Argentina",6105000,"Glencore plc Jujuy Province Project - Minera Aguilar / AR Zinc"
"329","BP P.L.C.","East Tanka","Egypt",6027297,"BP P.L.C. East Tanka"
"330","Glencore plc","New South Wales Project - Cobar Copper","Australia",5950244,"Glencore plc New South Wales Project - Cobar Copper"
"331","Exillon Energy Plc","Vostochno-Vozeiskoye oil field","Russian Federation",5938000,"Exillon Energy Plc Vostochno-Vozeiskoye oil field"
"332","Total Sa","Block 40","Angola",5921000,"Total Sa Block 40"
"333","Total Sa","Mboga CEPP","Gabon",5836000,"Total Sa Mboga CEPP"
"334","Glencore plc","Ontario Project - Sudbury","Canada",5754000,"Glencore plc Ontario Project - Sudbury"
"335","Anglo American plc","Corporate-Anglo American Chile","Chile",5690401,"Anglo American plc Corporate-Anglo American Chile"
"336","BP P.L.C.","Louisiana","United States of America",5602639,"BP P.L.C. Louisiana"
"337","PetroLatina Energy Ltd. (consolidated group)","Midas Block","Colombia",5586640,"PetroLatina Energy Ltd. (consolidated group) Midas Block"
"338","ROYAL DUTCH SHELL PLC","ACAMBUCO","Argentina",5338345,"ROYAL DUTCH SHELL PLC ACAMBUCO"
"339","Total Sa","Block 25","Angola",5171000,"Total Sa Block 25"
"340","Exillon Energy Plc","Kayumneft JSC","Russian Federation",5086000,"Exillon Energy Plc Kayumneft JSC"
"341","Glencore plc","Oruro Project - Minera Illapa","Bolivia, Plurinational State of",5076000,"Glencore plc Oruro Project - Minera Illapa"
"342","Rio Tinto PLC","ROSSING","Namibia",5033528,"Rio Tinto PLC ROSSING"
"343","Gem Diamonds Ltd","Gem Diamonds Australia Holdings (Proprietary) Limited","Australia",4934000,"Gem Diamonds Ltd Gem Diamonds Australia Holdings (Proprietary) Limited"
"344","ROYAL DUTCH SHELL PLC","CORRIB PROJECT","Ireland",4877756,"ROYAL DUTCH SHELL PLC CORRIB PROJECT"
"345","Petropavlovsk Plc","Malomyr","Russian Federation",4701000,"Petropavlovsk Plc Malomyr"
"346","Avocet Mining PLC","Inata","Burkina Faso",4588000,"Avocet Mining PLC Inata"
"347","Nord Gold SE","Neryungri-Metallic LLC","Russian Federation",4544280,"Nord Gold SE Neryungri-Metallic LLC"
"348","ROYAL DUTCH SHELL PLC","GROUNDBIRCH","Canada",4493267,"ROYAL DUTCH SHELL PLC GROUNDBIRCH"
"349","Perenco Oil & Gas Colombia Limited","Espinal","Colombia",4359487,"Perenco Oil & Gas Colombia Limited Espinal"
"350","Polymetal Intl Plc","Varvara","Kazakhstan",4345000,"Polymetal Intl Plc Varvara"
"351","BP P.L.C.","Block 19","Angola",4300000,"BP P.L.C. Block 19"
"352","Total Sa","Greater Laggan Area","United Kingdom of Great Britain and Northern Ireland",4259000,"Total Sa Greater Laggan Area"
"353","BP P.L.C.","Shetland","United Kingdom of Great Britain and Northern Ireland",4218090,"BP P.L.C. Shetland"
"354","Anglo American plc","Corporate","Brazil",4200453,"Anglo American plc Corporate"
"355","Total Sa","Utica","United States of America",4070000,"Total Sa Utica"
"356","Acacia Mining","London corporate office","United Kingdom of Great Britain and Northern Ireland",4049000,"Acacia Mining London corporate office"
"357","Antofagasta plc","Exploration activities (within Antofagasta Minerals S.A.)","",3996000,"Antofagasta plc Exploration activities (within Antofagasta Minerals S.A.)"
"358","FRESNILLO PLC","Cienega","Mexico",3970249,"FRESNILLO PLC Cienega"
"359","Anglo American plc","Corporate-Anglo American Michiquillay S.A.","Peru",3962875,"Anglo American plc Corporate-Anglo American Michiquillay S.A."
"360","Total Sa","Lacq","France",3951000,"Total Sa Lacq"
"361","Petropavlovsk Plc","Pokrovskiy","Russian Federation",3898000,"Petropavlovsk Plc Pokrovskiy"
"362","Total Sa","Halfaya","Iraq",3892000,"Total Sa Halfaya"
"363","Vedanta Resources","VED-IO-A Narayan","India",3860000,"Vedanta Resources VED-IO-A Narayan"
"364","Rio Tinto PLC","MUROWA","Zimbabwe",3859594,"Rio Tinto PLC MUROWA"
"365","Total Sa","Anzarane","Morocco",3859000,"Total Sa Anzarane"
"366","Glencore plc","Potosi Project -  Minera Illapa","Bolivia, Plurinational State of",3786000,"Glencore plc Potosi Project -  Minera Illapa"
"367","Anglo American plc","Masa Chrome Company (Pty) Ltd","South Africa",3615977,"Anglo American plc Masa Chrome Company (Pty) Ltd"
"368","Perenco Overseas Holdings Limited","Perenco Vietnam AS","Viet Nam",3556862,"Perenco Overseas Holdings Limited Perenco Vietnam AS"
"369","Exillon Energy Plc","Zapadno-Khatayakhskoye II oil field","Russian Federation",3555000,"Exillon Energy Plc Zapadno-Khatayakhskoye II oil field"
"370","Tullow Oil PLC","PSC B (Chinguetti EEA)","Mauritania",3400084,"Tullow Oil PLC PSC B (Chinguetti EEA)"
"371","Trans-Siberian Gold plc","Asacha Mine","Russian Federation",3298138,"Trans-Siberian Gold plc Asacha Mine"
"372","Total Sa","Block 4 East El Burullus","Egypt",3275000,"Total Sa Block 4 East El Burullus"
"373","Tullow Oil PLC","Tullow Ghana Limited","Ghana",3250962,"Tullow Oil PLC Tullow Ghana Limited"
"374","Tullow Oil PLC","Limande","Gabon",3235887,"Tullow Oil PLC Limande"
"375","Total Sa","North El Mahala Onshore","Egypt",3230000,"Total Sa North El Mahala Onshore"
"376","Tullow Oil PLC","Etame","Gabon",3123930,"Tullow Oil PLC Etame"
"377","EVRAZ PLC","Evrazruda","Russian Federation",3101234,"EVRAZ PLC Evrazruda"
"378","Total Sa","Block 39","Angola",3086000,"Total Sa Block 39"
"379","BP P.L.C.","North October","Egypt",3055682,"BP P.L.C. North October"
"380","FRESNILLO PLC","San Julian","Mexico",3031628,"FRESNILLO PLC San Julian"
"381","Tullow Oil PLC","Niungo","Gabon",3013410,"Tullow Oil PLC Niungo"
"382","ROYAL DUTCH SHELL PLC","JORDAN FIELD EXPERIMENT","Jordan",3e+06,"ROYAL DUTCH SHELL PLC JORDAN FIELD EXPERIMENT"
"383","Premier Oil Plc","Kadanwari","Pakistan",2997000,"Premier Oil Plc Kadanwari"
"384","ROYAL DUTCH SHELL PLC","BLACKROCK VENTURES INC.","Canada",2811449,"ROYAL DUTCH SHELL PLC BLACKROCK VENTURES INC."
"385","EVRAZ PLC","United Coal Company Yuzhkuzbasugol","Russian Federation",2782841,"EVRAZ PLC United Coal Company Yuzhkuzbasugol"
"386","Anglo American plc","Unki","Zimbabwe",2772143,"Anglo American plc Unki"
"387","Exillon Energy Plc","Lumutinskoe oil field","Russian Federation",2730000,"Exillon Energy Plc Lumutinskoe oil field"
"388","BG Group Ltd","Tapti","India",2662000,"BG Group Ltd Tapti"
"389","BP P.L.C.","Arkansas","United States of America",2651412,"BP P.L.C. Arkansas"
"390","Vedanta Resources","SZ","Namibia",2650000,"Vedanta Resources SZ"
"391","Glencore plc","Oyon Project - Minera Los Quenuales","Peru",2644000,"Glencore plc Oyon Project - Minera Los Quenuales"
"392","Premier Oil Plc","Bhit/Badhra","Pakistan",2637000,"Premier Oil Plc Bhit/Badhra"
"393","EnQuest PLC","Corporate","United Kingdom of Great Britain and Northern Ireland",2568440,"EnQuest PLC Corporate"
"394","BP P.L.C.","Block 5B","Trinidad and Tobago",2483422,"BP P.L.C. Block 5B"
"395","Vedanta Resources","TSPL","India",2480000,"Vedanta Resources TSPL"
"396","Total Sa","Surmont","Canada",2450000,"Total Sa Surmont"
"397","Great Eastern Energy Group","Raniganj (South) block","India",2421790,"Great Eastern Energy Group Raniganj (South) block"
"398","Vedanta Resources","Lisheen","Ireland",2420000,"Vedanta Resources Lisheen"
"399","Tullow Oil PLC","Tullow Uganda Operation Pty Limited","Uganda",2386103,"Tullow Oil PLC Tullow Uganda Operation Pty Limited"
"400","Vedanta Resources","BMM","South Africa",2370000,"Vedanta Resources BMM"
"401","Anglo American plc","Snap Lake","Canada",2321208,"Anglo American plc Snap Lake"
"402","ROYAL DUTCH SHELL PLC","UK OFFSHORE OPERATED","United Kingdom of Great Britain and Northern Ireland",2295985,"ROYAL DUTCH SHELL PLC UK OFFSHORE OPERATED"
"403","Total Sa","Forzando and Dorstfontein","South Africa",2292000,"Total Sa Forzando and Dorstfontein"
"404","ROYAL DUTCH SHELL PLC","SHELL EXPLORATION ET PRODUCTION DU MAROC GMBH","Germany",2278214,"ROYAL DUTCH SHELL PLC SHELL EXPLORATION ET PRODUCTION DU MAROC GMBH"
"405","Total Sa","Atla","Norway",2276000,"Total Sa Atla"
"406","FRESNILLO PLC","Fresnillo plc","Mexico",2270438,"FRESNILLO PLC Fresnillo plc"
"407","Total Sa","Coucal CEPP","Gabon",2261000,"Total Sa Coucal CEPP"
"408","Total Sa","Offshore blocks","Netherlands",2229000,"Total Sa Offshore blocks"
"409","BP P.L.C.","Block 25","Angola",2142857,"BP P.L.C. Block 25"
"410","ROYAL DUTCH SHELL PLC","SHELL ERDGAS BETEILIGUNGSGESELLSCHAFT mbH","Germany",2125909,"ROYAL DUTCH SHELL PLC SHELL ERDGAS BETEILIGUNGSGESELLSCHAFT mbH"
"411","Tullow Oil PLC","Tulipe Oil SA","Gabon",2121853,"Tullow Oil PLC Tulipe Oil SA"
"412","BP P.L.C.","Shafag-Asiman PSA","Azerbaijan",2118000,"BP P.L.C. Shafag-Asiman PSA"
"413","PetroLatina Energy Ltd. (consolidated group)","Tisquirama B Block","Colombia",2077107,"PetroLatina Energy Ltd. (consolidated group) Tisquirama B Block"
"414","Glencore plc","Kibea EXA","Chad",2e+06,"Glencore plc Kibea EXA"
"415","Glencore plc","Krim EXA","Chad",2e+06,"Glencore plc Krim EXA"
"416","ROYAL DUTCH SHELL PLC","SHELL DEEPWATER BORNEO LIMITED","Brunei Darussalam",1983978,"ROYAL DUTCH SHELL PLC SHELL DEEPWATER BORNEO LIMITED"
"417","Anglo American plc","Corporate-Anglo American Inyosi Coal (Pty) Limited","South Africa",1971016,"Anglo American plc Corporate-Anglo American Inyosi Coal (Pty) Limited"
"418","Perenco Oil & Gas Colombia Limited","Boquerón","Colombia",1887914,"Perenco Oil & Gas Colombia Limited Boquerón"
