"","Company","Country","Project","Payment_type","V1"
"325","Cairn Energy PLC","Senegal","Sangomar-Rufisque","Fees",107055
"326","Cairn Energy PLC","Morocco","Juby Maritime","Tax",70297
"327","Cairn Energy PLC","Norway","New Opportunities - Norway","Fees",97707
"328","Cairn Energy PLC","Ireland","Corporate - Republic of Ireland","Tax",343
"329","Cairn Energy PLC","Ireland","FEL 1/14","Fees",45368
"330","Cairn Energy PLC","Greenland","2008/11 ( Eqqua)","Fees",63483
"331","Petropavlovsk Plc","Russian Federation","Other","Fees",79000
"332","EnQuest PLC","Malaysia","Corporate","Tax",7766461
"333","Vedanta Resources","India","VEDL-C-Tuti","Fees",90000
"334","Total Sa","Yemen","Block 72","Fees",93000
"335","EnQuest PLC","United Kingdom of Great Britain and Northern Ireland","Corporate","Fees",1849352
"336","Petropavlovsk Plc","Russian Federation","JSC Pokrovskiy Rudnik","Fees",502000
"337","EnQuest PLC","United Kingdom of Great Britain and Northern Ireland","Kildrummy","Fees",149202
"338","Nord Gold SE","Burkina Faso","Jilbey Burkina SARL","Tax",142747
"339","Randgold Resources","Cote d'Ivoire","Société des Mines de Tongon SA","Tax",579868
"340","Tethys Petroleum Limited","Kazakhstan","Kyzloi Gas","Infrastructure",54276
"341","Anglo American plc","Brazil","Corporate-Anglo American Niobio Ltda","Fees",17850
"342","BG Group Ltd","Tunisia","Miskar","Tax",33408000
"343","Glencore plc","Chad","Mangara Field Project","Fees",823000
"344","Glencore plc","Kazakhstan","North-East Kazakhstan Project - Kazzinc","Royalties",65890000
"345","Glencore plc","Tanzania, United Republic of","Kagera Region Project - Kabanga","Fees",206000
"346","Anglo American plc","South Africa","Corporate-Sishen Iron Ore Company (Pty) Ltd","Royalties",19911762
"347","Antofagasta plc","","Los Pelambres","Tax",226454000
"348","Tullow Oil PLC","Kenya","Block 10BA","Fees",158100
"349","Glencore plc","South Africa","Mpumalanga Province Project - Thermal Coal","Infrastructure",743988
"350","Total Sa","Algeria","Tin Fouyé Tabenkort","Production Entitlements",209142000
"351","Glencore plc","Peru","Huarochiri Project - Minera Los Quenuales","Fees",439000
"352","Antofagasta plc","","Centinela","Tax",61994000
"353","Glencore plc","Peru","Antapaccay","Fees",4716000
"354","Tullow Oil PLC","Mozambique","Tullow Mozambique Limited","Tax",830
"355","BG Group Ltd","Tanzania, United Republic of","Block 4","Fees",226000
"356","Glencore plc","Peru","Antapaccay","Royalties",26728000
"357","Glencore plc","Equatorial Guinea","Block V Project","Fees",279000
"358","Glencore plc","Congo, the Democratic Republic of the","DRC Copperbelt Region Project","Fees",29426000
"359","Total Sa","United Kingdom of Great Britain and Northern Ireland","Markham Area","Fees",194000
"360","Glencore plc","Peru","Huarochiri Project - Minera Los Quenuales","Royalties",894000
"361","ROYAL DUTCH SHELL PLC","Gabon","GABON SOUTH","Infrastructure",16791230
"362","ROYAL DUTCH SHELL PLC","Argentina","ACAMBUCO","Royalties",5338345
"363","BP P.L.C.","United Kingdom of Great Britain and Northern Ireland","Andrew","Fees",209265
"364","BG Group Ltd","Trinidad and Tobago","NCMA","Fees",1343000
"365","Glencore plc","Colombia","Cesar Department Project - Prodeco","Tax",23832000
"366","ROYAL DUTCH SHELL PLC","Malaysia","SABAH SHELL PETROLEUM COMPANY LIMITED","Tax",368210
"367","Total Sa","Bolivia, Plurinational State of","Ipati","Fees",464000
"368","EnQuest PLC","United Kingdom of Great Britain and Northern Ireland","Kraken","Fees",498491
"369","Glencore plc","Canada","Quebec Project - Raglan","Tax",13620000
"370","Cadogan Petroleum PLC","Ukraine","Monastyretska licence area","Tax",241227
"371","ROYAL DUTCH SHELL PLC","Canada","INSITU","Royalties",10959461
"372","Avocet Mining PLC","Burkina Faso","Inata","Tax",2494000
"373","Glencore plc","Canada","Quebec Project - Matagami","Fees",35000
"374","Total Sa","Bulgaria","Silistar","Fees",6000
"375","Perenco Oil & Gas Colombia Limited","Colombia","Espinal","Production Entitlements",3798672
"376","Avocet Mining PLC","Burkina Faso","Inata","Royalties",2094000
"377","ROYAL DUTCH SHELL PLC","Brazil","Shell Brasil Petroleo Ltda","Fees",1077972
"378","BP P.L.C.","Oman","Khazzan","Fees",4e+05
"379","Total Sa","United Arab Emirates","Abu Dhabi Marine Areas Ltd (ADMA)","Tax",1433960000
"380","Polymetal Intl Plc","Kazakhstan","Kyzyl","Fees",86000
"381","PetroLatina Energy Ltd. (consolidated group)","Colombia","Midas Block","Infrastructure",218945
"382","Glencore plc","Canada","Ontario Project - Sudbury","Tax",5656000
"383","Glencore plc","Canada","Ontario Project - Kidd","Fees",7000
"384","Glencore plc","Australia","New South Wales Project - Cobar Copper","Royalties",6026034
"385","Glencore plc","Canada","British Columbia Project - Coking Coal","Fees",819000
"386","BP P.L.C.","Canada","Legacy Retained Conventional","Royalties",387232
"387","Glencore plc","Bolivia, Plurinational State of","Potosi Project - Sinchi Wayra","Royalties",16966000
"388","FRESNILLO PLC","Mexico","San Julian","Infrastructure",1299425
"389","ROYAL DUTCH SHELL PLC","Canada","ATHABASCA OIL SANDS","Fees",10487291
"390","Glencore plc","Australia","Western Australian Project - Murrin Murrin Nickel","Fees",2261311
"391","Glencore plc","Australia","Western Australian Project - Murrin Murrin Nickel","Tax",766645
"392","ROYAL DUTCH SHELL PLC","Australia","AUSTRALIA EXPLORATION PROJECTS","Fees",208637
"393","Premier Oil Plc","United Kingdom of Great Britain and Northern Ireland","Catcher","Fees",655000
"394","EnQuest PLC","United Kingdom of Great Britain and Northern Ireland","Corporate","Tax",719088
"395","Anglo American plc","Brazil","Corporate-Anglo American Minerio de Ferro Brasil S.A","Fees",918545
"396","Goldbridges Global Resources Plc","Kazakhstan","TOO Goronorudnoe Predpriatie Sekisovskoye","Tax",2963
"397","Glencore plc","Australia","Queensland Project - Mount Isa Mines Zinc","Fees",1854669
"398","Tullow Oil PLC","United Kingdom of Great Britain and Northern Ireland","Horne","Fees",89587
"399","Hunting Plc","United States of America","Vermilion 51","Royalties",4756
"400","Tullow Oil PLC","United Kingdom of Great Britain and Northern Ireland","Horne & Wren","Fees",89587
"401","Glencore plc","Australia","Queensland Project - Coking Coal","Fees",2173861
"402","Glencore plc","Australia","New South Wales Project - Thermal Coal","Tax",69471738
"403","EVRAZ PLC","South Africa","Evraz Vametco Alloys (PTY) Ltd","Tax",1113768
"404","Nostrum Oil & Gas PLC","Kazakhstan","Chinarevskoye","Fees",1030928
"405","Glencore plc","Chad","Badila Field Project","Production Entitlements",45857000
"406","Glencore plc","Argentina","San Juan Project - Minera Pachon","Fees",147000
"407","Glencore plc","Equatorial Guinea","Block EG-05 Project","Fees",393000
"408","Glencore plc","Canada","Quebec Project - Raglan","Fees",98000
"409","Glencore plc","Argentina","Jujuy Province Project - Minera Aguilar / AR Zinc","Royalties",1075000
"410","Glencore plc","Argentina","Jujuy Province Project - Minera Aguilar / AR Zinc","Tax",5030000
"411","EVRAZ PLC","Russian Federation","Shakhta Osinnikovskaya","Fees",787031
"412","Anglo American plc","Australia","Callide","Fees",524213
"413","BP P.L.C.","Trinidad and Tobago","BPTT Blocks","Tax",407641510
"414","Glencore plc","Australia","New South Wales Project - Coking Coal","Royalties",20093824
"415","Glencore plc","Argentina","Catamarca Province Project - Minera Alumbrera","Tax",1982000
"416","BP P.L.C.","Trinidad and Tobago","BPTT Blocks","Royalties",129649631
"417","EVRAZ PLC","Russian Federation","United Coal Company Yuzhkuzbasugol","Fees",1667992
"418","EnQuest PLC","Malaysia","PM8","Royalties",1299597
"419","Glencore plc","Equatorial Guinea","Block O - Alen Project","Production Entitlements",153075000
"420","EVRAZ PLC","Russian Federation","Shakhta Uskovskaya","Fees",59925
"421","EVRAZ PLC","Russian Federation","Shakhta Uskovskaya","Tax",9210641
"422","EVRAZ PLC","Russian Federation","Shakhta Abashevskaya","Fees",365441
"423","Rio Tinto PLC","Mongolia","OYU TOLGOI","Fees",8291136
"424","EVRAZ PLC","Russian Federation","Razrez Raspadskiy","Fees",773960
"425","EVRAZ PLC","Russian Federation","Raspadskaya-Koksovaya","Tax",461970
"426","BG Group Ltd","Bolivia, Plurinational State of","La Vertiente","Royalties",13344000
"427","Hunting Plc","United States of America","Chicolete","Tax",6933
"428","Glencore plc","Australia","Northern Territory Project - McArthur River Zinc","Fees",811828
"429","BP P.L.C.","Egypt","North Alexandria / West Mediterranean Deep Water","Fees",160000
"430","Polymetal Intl Plc","Russian Federation","Albazino","Tax",12939000
"431","BP P.L.C.","Azerbaijan","Shah Deniz","Production Entitlements",825367758
"432","Anglo American plc","South Africa","Corporate-Anglo American Inyosi Coal (Pty) Limited","Tax",265367
"433","BG Group Ltd","Trinidad and Tobago","NCMA","Tax",6428000
"434","Hunting Plc","United States of America","Vermilion 51","Tax",10834
"435","Glencore plc","Australia","Queensland Project - Ernest Henry Mine Copper","Royalties",16606026
"436","ROYAL DUTCH SHELL PLC","Nigeria","PSC 1993 (OPL212/OML118, OPL219/OML135)","Production Entitlements",799332160
"437","Randgold Resources","Cote d'Ivoire","Randgold Resources (Côte d'Ivoire) SARL","Fees",24734
"438","BP P.L.C.","Egypt","East Ras Shukier Marine","Tax",391101
"439","Anglo American plc","South Africa","Corporate-Kumba Iron Ore Limited","Tax",363689
"440","Perenco Oil & Gas Colombia Limited","Colombia","San Jacinto & Rio Paez LCN","Royalties",12040
"441","EVRAZ PLC","Russian Federation","Shakhta Kusheyakovskaya","Tax",209970
"442","Anglo American plc","South Africa","Corporate-Sishen Iron Ore Company (Pty) Ltd","Tax",38486730
"443","Glencore plc","Chad","Badila Field Project","Fees",823000
"444","Anglo American plc","South Africa","Corporate-Rustenburg Platinum Mines Ltd","Tax",124618911
"445","Anglo American plc","Peru","Corporate-Anglo American Michiquillay S.A.","Tax",253850
"446","Cairn Energy PLC","Greenland","2002/15 (Atammik)","Fees",27061
"447","Anglo American plc","Peru","Corporate-Anglo American Perú S.A.","Tax",818922
"448","Anglo American plc","Peru","Corporate-Asociación Quellaveco","Tax",4246
"449","Anglo American plc","Australia","Capcoal","Tax",3571127
"450","Total Sa","Argentina","Non-attributable","Tax",188508000
"451","Rio Tinto PLC","United States of America","KENNECOTT UTAH COPPER","Royalties",6024609
"452","Anglo American plc","Canada","Victor","Royalties",11310290
"453","Tullow Oil PLC","United Kingdom of Great Britain and Northern Ireland","Katy","Fees",115442
"454","BP P.L.C.","Egypt","North October","Bonuses",2200000
"455","Anglo American plc","Zimbabwe","Unki","Royalties",2489139
"456","Premier Oil Plc","Pakistan","Corporate","Tax",12266000
"457","Anglo American plc","Australia","Drayton","Royalties",12630585
"458","ROYAL DUTCH SHELL PLC","United States of America","PERMIAN","Tax",16054906
"459","Anglo American plc","Australia","Dawson","Royalties",44508804
"460","EVRAZ PLC","Russian Federation","Raspadskaya","Fees",5506942
"461","Total Sa","Bolivia, Plurinational State of","San Alberto","Production Entitlements",11442000
"462","Anglo American plc","South Africa","Corporate-Anglo Operations Proprietary Limited (Corporate)","Royalties",5409840
"463","Tethys Petroleum Limited","Kazakhstan","Akulka Gas","Fees",103776
"464","BP P.L.C.","Egypt","El Burg Offshore","Bonuses",8e+05
"465","Anglo American plc","South Africa","Corporate-Anglo American Inyosi Coal (Pty) Limited","Royalties",1700610
"466","Anglo American plc","South Africa","Corporate-Mafube Coal Mining (Proprietary) Limited","Royalties",7253059
"467","Anglo American plc","South Africa","Corporate-De Beers Consolidated Mines (Pty) Ltd","Royalties",6280658
"468","KAZ Minerals PLC","Kazakhstan","Irtyshsky","Royalties",7436
"469","Anglo American plc","Brazil","Corporate-Anglo American Minerio de Ferro Brasil S.A","Royalties",6906305
"470","KAZ Minerals PLC","Kazakhstan","Artemyevsky","Fees",427
"471","Hochschild Mining plc","Peru","Compañía Minera Ares S.A.C.","Tax",3944634
"472","Anglo American plc","Brazil","Corporate-Anglo American Fosfatos Ltda","Royalties",504492
"473","Anglo American plc","Brazil","Corporate-Anglo American Niobio Ltda","Royalties",432941
"474","Rio Tinto PLC","Australia","GOVE","Royalties",29622808
"475","Glencore plc","Namibia","Karas Project - Rosh Pinah Mine","Tax",6659000
"476","Anglo American plc","Australia","Capcoal","Royalties",90436442
"477","Tullow Oil PLC","Netherlands","E18a","Fees",24408
"478","Anglo American plc","Brazil","Boa Vista","Royalties",160046
"479","EVRAZ PLC","Russian Federation","Shakhta Alardinskaya","Tax",409834
"480","Anglo American plc","Brazil","Barro Alto","Royalties",1065794
"481","EVRAZ PLC","Russian Federation","Razrez Raspadskiy","Tax",5676799
"482","Total Sa","Gabon","Diaba CEPP","Fees",873000
"483","Anglo American plc","South Africa","Kumba Iron Ore - Thabazimbi Mine","Royalties",202938
"484","Anglo American plc","Zambia","Western Zambia - MDML","Fees",148000
"485","Abu Dhabi Marine Areas Limited","United Arab Emirates","Abu Dhabi Marine Areas","Royalties",1220299291
"486","BP P.L.C.","Angola","Block 19","Tax",3e+05
"487","Anglo American plc","Zambia","Western Zambia - AEZL","Fees",57000
"488","Tullow Oil PLC","Kenya","Block 12B","Fees",124000
"489","EVRAZ PLC","Russian Federation","Shakhta Abashevskaya","Tax",13669
"490","Total Sa","France","Meillon","Tax",754000
"491","Anglo American plc","Brazil","Forests","Royalties",250162
"492","EVRAZ PLC","Russian Federation","Raspadskaya","Tax",1913217
"493","Anglo American plc","Australia","Theodore South Exploration JV","Fees",13051
"494","EVRAZ PLC","Russian Federation","Raspadskaya-Koksovaya","Fees",122603
"495","Anglo American plc","Canada","Snap Lake","Fees",1228507
"496","Antofagasta plc","","Inversiones Los Pelambres Ltda.","Tax",6499000
"497","ROYAL DUTCH SHELL PLC","Gabon","GABON SOUTH","Fees",427322
"498","Anglo American plc","Peru","Puca Urku","Fees",428
"499","Antofagasta plc","","Antucoya","Tax",5000
"500","Anglo American plc","South Africa","Mototolo JV","Fees",4
"501","Polymetal Intl Plc","Russian Federation","Okhotsk","Royalties",7638000
"502","Tullow Oil PLC","Madagascar","Berenty (Block 3111)","Fees",3e+05
"503","Acacia Mining","Tanzania, United Republic of","Nyanzaga project","Fees",55000
"504","Antofagasta plc","","Antucoya","Fees",35000
"505","Anglo American plc","South Africa","Modikwa","Fees",760
"506","Anglo American plc","Australia","Grosvenor","Fees",125464
"507","BP P.L.C.","United States of America","Wyoming","Royalties",1808812
"508","BP P.L.C.","United States of America","Oklahoma","Royalties",1593768
"509","Anglo American plc","Australia","Dawson","Fees",913202
"510","EVRAZ PLC","Russian Federation","Shakhta Esaulskaya","Tax",8054552
"511","Vedanta Resources","India","VGCB","Fees",490000
"512","BP P.L.C.","Trinidad and Tobago","Block 5B","Fees",2483422
"513","Anglo American plc","South Africa","Corporate-Rustenburg Platinum Mines Ltd","Fees",37223
"514","FRESNILLO PLC","Mexico","Servicios de Exploracion Fresnillo S.A. De C.V.","Tax",267462
"515","Premier Oil Plc","Indonesia","Natuna Sea Block A","Production Entitlements",55589000
"516","Polymetal Intl Plc","Russian Federation","Mayskoye","Royalties",10668000
"517","Randgold Resources","Mali","Société des Mines de Loulo SA","Fees",29781
"518","Tethys Petroleum Limited","Kazakhstan","Akulka Gas","Infrastructure",32566
"519","Anglo American plc","Australia","Moranbah North","Royalties",41909116
"520","BP P.L.C.","Brazil","BM-POT-17 (POT-M-853)","Fees",1044673
"521","Tullow Oil PLC","Uganda","Tullow Uganda Limited","Tax",33683871
"522","ROYAL DUTCH SHELL PLC","Brazil","BC-10","Fees",877222
"523","JX Nippon Exploration and Production (U.K.) Limited","United Kingdom of Great Britain and Northern Ireland","Licence P2016 Project","Fees",10773
"524","Glencore plc","Argentina","San Juan Project - Minera Pachon","Tax",147000
"525","PetroLatina Energy Ltd. (consolidated group)","Colombia","Paloma Block","Infrastructure",96364
"526","ROYAL DUTCH SHELL PLC","Malaysia","SABAH SHELL PETROLEUM COMPANY LIMITED","Royalties",268185
"527","Tullow Oil PLC","Gabon","Ezanga","Bonuses",2e+07
"528","Tullow Oil PLC","Norway","PL 405B","Fees",263007
"529","Total Sa","Kazakhstan","Nurmunaï","Fees",120000
"530","KAZ Minerals PLC","Kazakhstan","Orlovsky","Royalties",23836
"531","Antofagasta plc","","Encuentro","Tax",65000
"532","BP P.L.C.","Brazil","BM-POT-17 (POT-M-855)","Fees",22140160
"533","Tullow Oil PLC","Suriname","Block 47","Infrastructure",257689
"534","Abu Dhabi Marine Areas Limited","United Arab Emirates","Abu Dhabi Marine Areas","Tax",2960318035
"535","BP P.L.C.","Angola","Block 20","Bonuses",32142857
"536","BP P.L.C.","Egypt","North Tennin","Bonuses",250000
"537","KAZ Minerals PLC","Kazakhstan","Aktogay","Fees",535
"538","Glencore plc","Bolivia, Plurinational State of","Oruro Project - Minera Illapa","Royalties",5076000
"539","BP P.L.C.","Brazil","BM-C-34 (C-M-473)","Fees",590650
"540","Tullow Oil PLC","Mauritania","Block C-3","Fees",19650
"541","Glencore plc","Zambia","Lusaka Region Project - Limeco Resources","Fees",4000
"542","ROYAL DUTCH SHELL PLC","Nigeria","EA","Production Entitlements",1592115125
"543","Glencore plc","Canada","Ontario Project - Kidd","Tax",1275000
"544","Glencore plc","Peru","Oyon Project - Minera Los Quenuales","Royalties",1203000
"545","ROYAL DUTCH SHELL PLC","New Zealand","MAUI","Royalties",8454316
"546","Glencore plc","Australia","Queensland Project - Thermal Coal","Royalties",30461750
"547","Perenco (Oil & Gas) International Limited","Turkey","2652","Royalties",870772
"548","BG Group Ltd","Thailand","Bongkot","Tax",160577000
"549","ROYAL DUTCH SHELL PLC","Brazil","BASIN EXPLORATION PROJECTS","Fees",582284
"550","BP P.L.C.","United Kingdom of Great Britain and Northern Ireland","ETAP","Fees",182208
"551","Glencore plc","Colombia","Cesar Department Project - Prodeco","Royalties",112969000
"552","Tullow Oil PLC","Madagascar","Tullow Madagascar Limited","Tax",105
"553","Anglo American plc","Australia","Moranbah North","Fees",478135
"554","Total Sa","Gabon","Atora CEPP","Tax",10820000
"555","BP P.L.C.","Angola","Block 17","Tax",242187190
"556","Anglo American plc","Brazil","Codemin","Royalties",401478
"557","Rio Tinto PLC","Peru","EXPLORATION - PERU","Fees",208435
"558","ROYAL DUTCH SHELL PLC","Gabon","GABON NORTH EAST","Fees",10896697
"559","BP P.L.C.","United Arab Emirates","ADMA Concession","Tax",1059269409
"560","Hunting Plc","United States of America","Crews","Tax",59
"561","Perenco (Oil & Gas) International Limited","Turkey","1050","Royalties",10647390
"562","ROYAL DUTCH SHELL PLC","United Kingdom of Great Britain and Northern Ireland","Northern North Sea","Fees",668744
"563","Genel Energy Plc","Iraq","Taq Taq","Production Entitlements",1151960000
"564","Exillon Energy Plc","Russian Federation","Nem Oil CJSC","Fees",163000
"565","Tullow Oil PLC","Pakistan","Kalchas","Fees",6008
"566","PetroLatina Energy Ltd. (consolidated group)","Colombia","Tisquirama A Block","Royalties",732690
"567","Rio Tinto PLC","United States of America","US BORAX","Tax",35817238
"568","JX Nippon Exploration and Production (U.K.) Limited","United Kingdom of Great Britain and Northern Ireland","Licence P312 Project","Fees",109663
"569","Glencore plc","Peru","Oyon Project - Minera Los Quenuales","Fees",1441000
"570","Acacia Mining","Tanzania, United Republic of","Dar es Salaam corporate office","Tax",6516000
"571","Tullow Oil PLC","Madagascar","Mandabe (Block 3109)","Fees",3e+05
"572","Total Sa","United Kingdom of Great Britain and Northern Ireland","Bruce","Tax",38948000
"573","Total Sa","Gabon","Concession Fields (Non-attributable)","Fees",4262000
"574","JX Nippon Exploration and Production (U.K.) Limited","United Kingdom of Great Britain and Northern Ireland","Magnus Project","Tax",15156689
"575","Nord Gold SE","Burkina Faso","Bissa Gold SA","Dividends",1914657
"576","EVRAZ PLC","Russian Federation","Mezhegeyugol Coal Company","Tax",136090
"577","Tullow Oil PLC","Equatorial Guinea","Okume Complex","Production Entitlements",23185210
"578","Anglo American plc","Peru","Corporate-Asociación Michiquillay","Tax",9017
"579","Glencore plc","Congo, the Democratic Republic of the","DRC Copperbelt Region Project","Infrastructure",53712000
"580","Rio Tinto PLC","Australia","NEW SOUTH WALES COAL","Royalties",145160507
"581","Anglo American plc","Brazil","Corporate-Anglo American Niobio Ltda","Tax",76731319
"582","Anglo American plc","South Africa","Voorspoed Mine","Infrastructure",424000
"583","Glencore plc","Namibia","Karas Project - Rosh Pinah Mine","Royalties",1043000
"584","Anglo American plc","Peru","Corporate-Anglo American Perú S.A.","Fees",461600
"585","Total Sa","United Kingdom of Great Britain and Northern Ireland","Northern North Sea","Fees",760000
"586","Anglo American plc","Australia","Foxleigh","Royalties",16828436
"587","Ophir Energy Plc","Seychelles","Block 5B/1, 5B/2 & 5B/3","Fees",144000
"588","Tullow Oil PLC","Pakistan","Bannu West","Infrastructure",4000
"589","Hochschild Mining plc","Peru","Inmaculada","Fees",167319
"590","Anglo American plc","South Africa","Corporate-Anglo Operations Proprietary Limited (Corporate)","Tax",3411273
"591","Hunting Plc","United States of America","South Timbalier 16","Tax",668
"592","ROYAL DUTCH SHELL PLC","Malaysia","SABAH INBOARD AND DEEPWATER OIL","Production Entitlements",580669210
"593","Glencore plc","Congo, the Democratic Republic of the","DRC Copperbelt Region Project","Royalties",104180000
"594","Tullow Oil PLC","Mauritania","PSC B (Chinguetti EEA)","Fees",257749
"595","ROYAL DUTCH SHELL PLC","Argentina","O & G DEVELOPMENTS LTD S.A.","Tax",1114712
"596","Hunting Plc","United States of America","Heyser","Tax",727
"597","ROYAL DUTCH SHELL PLC","China","CHANGBEI","Production Entitlements",431541584
"598","Anglo American plc","Australia","Dawson","Tax",735922
"599","Hunting Plc","United States of America","SW Weesatche","Tax",560
"600","BP P.L.C.","Norway","Skarv","Fees",7411968
"601","Rio Tinto PLC","Guinea","SIMANDOU","Royalties",52995
"602","Glencore plc","South Africa","North West Province Project - Ferroalloys Assets","Infrastructure",1355064
"603","Total Sa","Gabon","Concession Anguille","Tax",50186000
"604","BG Group Ltd","India","Panna-Mukhta","Production Entitlements",81145000
"605","Cadogan Petroleum PLC","Ukraine","Cheremkhivska Production licence area","Tax",193346
"606","Total Sa","South Africa","Forzando and Dorstfontein","Tax",469000
"607","Anglo American plc","Canada","Victor","Infrastructure",3511447
"608","Hunting Plc","United States of America","Chapel Hill","Tax",501
"609","Hunting Plc","United States of America","East Texas","Tax",63
"610","Exillon Energy Plc","Russian Federation","Badyuskoye oil field","Tax",812000
"611","Anglo American plc","South Africa","Kumba Iron Ore - Sishen Mine","Royalties",2492250
"612","Total Sa","Angola","Block 17 / 06","Fees",163000
"613","Tullow Oil PLC","Pakistan","Kalchas","Infrastructure",3000
"614","Hunting Plc","United States of America","North Shongaloo","Tax",111
"615","ROYAL DUTCH SHELL PLC","Malaysia","SABAH INBOARD AND DEEPWATER OIL","Royalties",215776997
"616","Hunting Plc","United States of America","South Timbalier 19/30","Tax",2026
"617","Glencore plc","Australia","Queensland Project - Mount Isa Mines Copper","Tax",135548
"618","Polymetal Intl Plc","Kazakhstan","Varvara","Fees",21000
"619","BP P.L.C.","Egypt","East Tanka","Tax",6027297
"620","Anglo American plc","Chile","Corporate-Anglo American Norte S.A.","Tax",5326119
"621","Total Sa","Nigeria","OML118 (Bonga)","Production Entitlements",58961000
"622","Randgold Resources","Mali","Société des Mines de Loulo SA","Royalties",24620902
"623","KAZ Minerals PLC","Kazakhstan","Bozshakol","Infrastructure",2629
"624","Randgold Resources","Mali","Société des Mines de Loulo SA","Infrastructure",161163
"625","KAZ Minerals PLC","Kazakhstan","Legal entity - East Region","Tax",31094
