"","Company","Country","Project","Payment_type","V1"
"936","Nord Gold SE","Guinea","Societe Miniere de Dinguiraye","Infrastructure",1200863
"937","Cairn Energy PLC","Ireland","FEL 2/04","Fees",23092
"938","Glencore plc","Canada","Ontario Project - Sudbury","Fees",98000
"939","Anglo American plc","Chile","Corporate-Anglo American Sur S.A.","Tax",94056637
"940","Goldbridges Global Resources Plc","Kazakhstan","TOO Goronorudnoe Predpriatie Sekisovskoye","Royalties",558492
"941","Anglo American plc","Brazil","Corporate-Anglo American Fosfatos Ltda","Fees",55426
"942","ROYAL DUTCH SHELL PLC","Gabon","GABON SOUTH","Royalties",8609635
"943","Anglo American plc","South Africa","Corporate-De Beers Consolidated Mines (Pty) Ltd","Tax",95134
"944","BP P.L.C.","Trinidad and Tobago","BPTT Blocks","Fees",165721
"945","Petrofac","Malaysia","PM304","Royalties",9825000
"946","Anglo American plc","Chile","Corporate-Anglo American Sur S.A.","Fees",3032655
"947","Glencore plc","Peru","Antapaccay","Tax",54204000
"948","Glencore plc","Bolivia, Plurinational State of","Oruro Project - Sinchi Wayra","Royalties",1488000
"949","BP P.L.C.","United States of America","Gulf of Mexico - Central","Bonuses",4850014
"950","Nord Gold SE","Russian Federation","Buryatzoloto JSC","Tax",20239845
"951","Nord Gold SE","Russian Federation","Berezitovy rudnik LLC","Tax",26427865
"952","Antofagasta plc","","Centinela","Fees",189000
"953","ROYAL DUTCH SHELL PLC","China","JINQIU+FUSHUN+ZITONG","Royalties",922004
"954","Antofagasta plc","","Exploration activities (within Antofagasta Minerals S.A.)","Fees",3996000
"955","BG Group Ltd","Brazil","Corporate","Tax",70975000
"956","BP P.L.C.","United Kingdom of Great Britain and Northern Ireland","Decommissioning","Fees",367597
"957","ROYAL DUTCH SHELL PLC","Qatar","PEARL GTL","Fees",16475980
"958","Antofagasta plc","","Michilla","Fees",736000
"959","Vedanta Resources","India","CIL-RJ-ON-90/1","Production Entitlements",372050000
"960","Tullow Oil PLC","United Kingdom of Great Britain and Northern Ireland","Wissey","Fees",12328
"961","Antofagasta plc","","Twin Metals","Fees",263000
"962","Ophir Energy Plc","Gabon","Manga","Fees",334000
"963","Tullow Oil PLC","Cote d'Ivoire","CI-26 Espoir","Production Entitlements",273751
"964","Rio Tinto PLC","Australia","NEW SOUTH WALES COAL","Fees",2961791
"965","Tullow Oil PLC","Ethiopia","South Omo","Fees",440680
"966","Tullow Oil PLC","Ethiopia","South Omo","Infrastructure",196729
"967","Rio Tinto PLC","Australia","NEW SOUTH WALES COAL","Tax",98131730
"968","Tullow Oil PLC","Gabon","Echira","Royalties",1303643
"969","Tullow Oil PLC","Gabon","Etame","Royalties",3123930
"970","Glencore plc","Zambia","Copperbelt Region Project - Mopani","Tax",270000
"971","Tullow Oil PLC","Gabon","Ezanga","Royalties",706470
"972","Tullow Oil PLC","Gabon","Limande","Royalties",3235887
"973","Total Sa","Libya","Areas 15, 16 & 32 (Al Jurf)","Production Entitlements",203176000
"974","Rio Tinto PLC","Australia","PILBARA","Royalties",1061871911
"975","ROYAL DUTCH SHELL PLC","Malaysia","Shell Energy Asia Limited","Tax",181807
"976","Tullow Oil PLC","Gabon","Niungo","Royalties",3013410
"977","BP P.L.C.","Algeria","In Amenas","Tax",49466918
"978","Tullow Oil PLC","Gabon","Oba","Royalties",1105736
"979","ROYAL DUTCH SHELL PLC","Australia","NORTH WEST SHELF","Royalties",120230627
"980","Total Sa","Gabon","Non-attributable","Dividends",11250000
"981","BP P.L.C.","Algeria","In Salah","Tax",84492164
"982","Randgold Resources","Mali","Société des Mines de Loulo SA","Tax",12395231
"983","BP P.L.C.","Canada","Terre de Grace","Fees",396131
"984","Tullow Oil PLC","Gabon","Tulipe Oil SA","Tax",2121853
"985","Rio Tinto PLC","Australia","PILBARA","Fees",1140210
"986","Tullow Oil PLC","Gabon","Tullow Oil Gabon SA","Tax",15775329
"987","ROYAL DUTCH SHELL PLC","New Zealand","SHELL NEW ZEALAND (2011) LIMITED","Fees",139534
"988","ROYAL DUTCH SHELL PLC","Norway","ORMEN LANGE AND DRAUGEN","Production Entitlements",3008589121
"989","Rio Tinto PLC","Mongolia","OYU TOLGOI","Royalties",111117141
"990","ROYAL DUTCH SHELL PLC","Nigeria","THE SHELL PETROLEUM DEVELOPMENT COMPANY OF NIGERIA LIMITED","Royalties",341126943
"991","Tullow Oil PLC","United Kingdom of Great Britain and Northern Ireland","Boulton B & F","Fees",64465
"992","ROYAL DUTCH SHELL PLC","United States of America","PERMIAN","Royalties",13941794
"993","Tullow Oil PLC","United Kingdom of Great Britain and Northern Ireland","Gawain","Fees",10615
"994","ROYAL DUTCH SHELL PLC","Egypt","OBAIYED","Tax",34422390
"995","Total Sa","Gabon","Coucal CEPP","Fees",533000
"996","Rio Tinto PLC","Argentina","EXPLORATION - ARGENTINA","Tax",399739
"997","EnQuest PLC","United Kingdom of Great Britain and Northern Ireland","Kittiwake","Fees",884459
"998","Tullow Oil PLC","United Kingdom of Great Britain and Northern Ireland","Murdoch K","Fees",259624
"999","BP P.L.C.","Egypt","North October","Tax",855682
"1000","Tullow Oil PLC","United Kingdom of Great Britain and Northern Ireland","Schooner","Fees",434488
"1001","Tullow Oil PLC","United Kingdom of Great Britain and Northern Ireland","Thames","Fees",17083
"1002","Total Sa","Qatar","Al Khalij","Infrastructure",21136000
"1003","Tullow Oil PLC","United Kingdom of Great Britain and Northern Ireland","Thurne","Fees",42941
"1004","Tullow Oil PLC","United Kingdom of Great Britain and Northern Ireland","Tullow Group Services Limited","Tax",7712109
"1005","Tullow Oil PLC","Ghana","Jubilee","Infrastructure",915219
"1006","Tullow Oil PLC","Ghana","TEN","Infrastructure",237263
"1007","Tullow Oil PLC","Congo, the Democratic Republic of the","M'boundi","Production Entitlements",15127543
"1008","Tullow Oil PLC","Ghana","Tullow Ghana Limited","Fees",60472
"1009","Tullow Oil PLC","Ghana","Tullow Ghana Limited","Infrastructure",3190490
"1010","Tullow Oil PLC","Guinea","Offshore Guinea (Deepwater)","Fees",75087
"1011","BP P.L.C.","Indonesia","Tangguh","Production Entitlements",550847289
"1012","Tullow Oil PLC","Guinea","Tullow Guinea Limited","Infrastructure",59572
"1013","BG Group Ltd","Brazil","BM-S-9","Royalties",196113000
"1014","BG Group Ltd","Thailand","Bongkot","Royalties",102723000
"1015","EVRAZ PLC","Russian Federation","Evrazruda","Fees",1952047
"1016","Tullow Oil PLC","Equatorial Guinea","Ceiba","Production Entitlements",10006583
"1017","Nord Gold SE","Burkina Faso","Societe des Mines de Taparko","Dividends",315114
"1018","Tullow Oil PLC","Equatorial Guinea","Tullow Equatorial Guinea Limited","Tax",37380751
"1019","BG Group Ltd","Egypt","Rosetta","Tax",14315000
"1020","Glencore plc","Chile","IV Region Coquimbo Project - Minera Punitaqui","Fees",221000
"1021","Total Sa","Gabon","Concession Grondin","Tax",48452000
"1022","BG Group Ltd","India","Panna-Mukhta","Royalties",52106000
"1023","KAZ Minerals PLC","Kazakhstan","Aktogay","Royalties",2945
"1024","Tullow Oil PLC","Jamaica","Walton Morant","Fees",128261
"1025","ROYAL DUTCH SHELL PLC","United States of America","ALASKA EXPLORATION","Fees",6882404
"1026","ROYAL DUTCH SHELL PLC","United States of America","APPALACHIA","Fees",13164884
"1027","ROYAL DUTCH SHELL PLC","Argentina","ARGENTINA UNCONVENTIONAL PROJECTS","Fees",375684
"1028","ROYAL DUTCH SHELL PLC","Argentina","ARGENTINA UNCONVENTIONAL PROJECTS","Royalties",4239029
"1029","ROYAL DUTCH SHELL PLC","Brunei Darussalam","SHELL DEEPWATER BORNEO LIMITED","Tax",1983978
"1030","ROYAL DUTCH SHELL PLC","Canada","ATHABASCA OIL SANDS","Royalties",62808847
"1031","ROYAL DUTCH SHELL PLC","Australia","Shell Australia Pty Ltd","Tax",757694007
"1032","Tullow Oil PLC","Suriname","Block 54","Infrastructure",257689
"1033","BP P.L.C.","Brazil","BM-POT-16 (POT-M-760)","Fees",85996688
"1034","BP P.L.C.","United States of America","Alaska","Royalties",254908256
"1035","ROYAL DUTCH SHELL PLC","Egypt","BADR EL-DIN (BED)","Bonuses",1e+08
"1036","KAZ Minerals PLC","Kazakhstan","Legal entity - East Region","Infrastructure",11072
"1037","BP P.L.C.","Brazil","BM-POT-16 (POT-M-663)","Fees",734260
"1038","ROYAL DUTCH SHELL PLC","Brazil","BIJUPIRA & SALEMA","Fees",393972
"1039","ROYAL DUTCH SHELL PLC","Brazil","BIJUPIRA & SALEMA","Royalties",24850409
"1040","Perenco Overseas Holdings Limited","Viet Nam","Perenco Cuu Long Ltd","Tax",98407194
"1041","ROYAL DUTCH SHELL PLC","China","CHANGBEI","Royalties",7686464
"1042","ROYAL DUTCH SHELL PLC","Ireland","CORRIB PROJECT","Infrastructure",564653
"1043","ROYAL DUTCH SHELL PLC","Gabon","GABON CENTRAL","Royalties",16583412
"1044","ROYAL DUTCH SHELL PLC","Gabon","GABON NORTH EAST","Royalties",38400345
"1045","ROYAL DUTCH SHELL PLC","Argentina","ARGENTINA UNCONVENTIONAL PROJECTS","Bonuses",1.2e+07
"1046","ROYAL DUTCH SHELL PLC","Gabon","GABON SOUTH","Production Entitlements",2595760
"1047","Glencore plc","South Africa","Mpumalanga Province Project - Thermal Coal","Royalties",11864971
"1048","ROYAL DUTCH SHELL PLC","Malaysia","SARAWAK SHELL BERHAD","Tax",421287
"1049","JKX Oil & Gas plc","Ukraine","Novo-Nikolaevskoye Complex","Fees",114000
"1050","Tullow Oil PLC","Norway","PL 438","Fees",1002241
"1051","ROYAL DUTCH SHELL PLC","Germany","SHELL EXPLORATION ET PRODUCTION DU MAROC GMBH","Tax",2278214
"1052","BP P.L.C.","United States of America","Colorado","Tax",14806262
"1053","ROYAL DUTCH SHELL PLC","Canada","GROUNDBIRCH","Royalties",594864
"1054","ROYAL DUTCH SHELL PLC","Canada","INSITU","Fees",22244721
"1055","ROYAL DUTCH SHELL PLC","Italy","ITALY UPSTREAM ASSET","Royalties",104352782
"1056","Anglo American plc","Brazil","Boa Vista (Fresh Rock)","Royalties",271683
"1057","ROYAL DUTCH SHELL PLC","Jordan","JORDAN FIELD EXPERIMENT","Bonuses",3e+06
"1058","BG Group Ltd","Tunisia","Hasdrubal","Royalties",13680000
"1059","ROYAL DUTCH SHELL PLC","New Zealand","KAPUNI","Royalties",742945
"1060","ROYAL DUTCH SHELL PLC","Iraq","MAJNOON","Tax",15689830
"1061","Rio Tinto PLC","Canada","IRON ORE COMPANY OF CANADA","Tax",937576
"1062","ROYAL DUTCH SHELL PLC","Malaysia","SHELL SABAH  SELATAN SDN. BHD.","Royalties",268078
"1063","Tullow Oil PLC","Gabon","Tchatamba","Royalties",9413126
"1064","ROYAL DUTCH SHELL PLC","Malaysia","SHELL OIL & GAS (MALAYSIA) LLC","Tax",587157
"1065","Total Sa","Libya","Areas 15, 16 & 32 (Al Jurf)","Tax",160461000
"1066","ROYAL DUTCH SHELL PLC","Oman","MUKHAIZNA PSC","Tax",23003630
"1067","Tullow Oil PLC","United Kingdom of Great Britain and Northern Ireland","Ketch","Fees",299158
"1068","ROYAL DUTCH SHELL PLC","United States of America","Non Core Assets","Tax",22852354
"1069","ROYAL DUTCH SHELL PLC","Norway","A/S NORSKE SHELL","Tax",1137352447
"1070","Seplat Petroleum","Nigeria","OML 56","Royalties",527310
"1071","Rio Tinto PLC","Australia","WEIPA INCLUDING AMRUN","Fees",1111735
"1072","Anglo American plc","Brazil","Corporate","Infrastructure",4200453
"1073","ROYAL DUTCH SHELL PLC","United Kingdom of Great Britain and Northern Ireland","ONEGAS WEST","Fees",1239639
"1074","Total Sa","Kazakhstan","Kashagan","Infrastructure",11612000
"1075","BP P.L.C.","Canada","Nova Scotia Exploration","Fees",298693
"1076","Tullow Oil PLC","United Kingdom of Great Britain and Northern Ireland","Kelvin","Fees",129854
"1077","ROYAL DUTCH SHELL PLC","United Kingdom of Great Britain and Northern Ireland","ONEGAS WEST","Tax",52759167
"1078","Antofagasta plc","","Los Pelambres","Fees",964000
"1079","ROYAL DUTCH SHELL PLC","Qatar","PEARL GTL","Tax",520599000
"1080","ROYAL DUTCH SHELL PLC","New Zealand","POHOKURA","Royalties",55711110
"1081","BP P.L.C.","Egypt","East Morgan","Tax",11755360
"1082","Total Sa","France","Pécorade","Tax",397000
"1083","ROYAL DUTCH SHELL PLC","Nigeria","PSC 1993 (OPL212/OML118, OPL219/OML135)","Tax",368870290
"1084","BP P.L.C.","Libya","EPSA","Fees",584575
"1085","Premier Oil Plc","Falkland Islands (Malvinas)","Sea Lion","Fees",390000
"1086","ROYAL DUTCH SHELL PLC","Indonesia","PULAU MOA SELATAN","Bonuses",1e+06
"1087","Petropavlovsk Plc","Russian Federation","Alluvial operations","Tax",374000
"1088","ROYAL DUTCH SHELL PLC","China","YINGGEHAI","Bonuses",250000
"1089","ROYAL DUTCH SHELL PLC","Canada","SABLE DEEPWATER","Royalties",7047820
"1090","Jardine Matheson Holdings Ltd","Indonesia","North Barito, Central Kalimantan Project","Royalties",370129
"1091","ROYAL DUTCH SHELL PLC","Malaysia","SARAWAK OIL AND GAS","Production Entitlements",2842812182
"1092","Rio Tinto PLC","Canada","DIAVIK","Fees",381740
"1093","BP P.L.C.","United Kingdom of Great Britain and Northern Ireland","Bruce","Fees",486862
"1094","ROYAL DUTCH SHELL PLC","Philippines","SC 38 MALAMPAYA GAS","Production Entitlements",408295106
"1095","ROYAL DUTCH SHELL PLC","Philippines","SC 38 MALAMPAYA GAS","Tax",78622555
"1096","Tullow Oil PLC","Gabon","M'Oba","Royalties",157462
"1097","Glencore plc","Zambia","Copperbelt Region Project - Mopani","Royalties",41885000
"1098","Rio Tinto PLC","Australia","ARGYLE","Royalties",11366316
"1099","ROYAL DUTCH SHELL PLC","Nigeria","SPDC SHALLOW WATER","Production Entitlements",417866579
"1100","BP P.L.C.","Egypt","South Gharib","Tax",11316399
"1101","ROYAL DUTCH SHELL PLC","Nigeria","SPDC WEST","Production Entitlements",798332523
"1102","BG Group Ltd","Uruguay","Block 8","Fees",1e+05
"1103","ROYAL DUTCH SHELL PLC","United Kingdom of Great Britain and Northern Ireland","SHELL U.K. LIMITED","Fees",941782
"1104","Exillon Energy Plc","Russian Federation","Kayumneft JSC","Fees",140000
"1105","BG Group Ltd","United Kingdom of Great Britain and Northern Ireland","J Block / Jade","Tax",11462000
"1106","ROYAL DUTCH SHELL PLC","United Kingdom of Great Britain and Northern Ireland","UK EXPLORATIONS PROJECTS","Fees",631198
"1107","Total Sa","Uganda","Block EA-1","Fees",378000
"1108","ROYAL DUTCH SHELL PLC","United Kingdom of Great Britain and Northern Ireland","UK OFFSHORE NON OPERATED","Fees",909622
"1109","BP P.L.C.","United Kingdom of Great Britain and Northern Ireland","Pipelines","Fees",1862764
"1110","BP P.L.C.","Uruguay","Block 12","Fees",1e+05
"1111","ROYAL DUTCH SHELL PLC","United Kingdom of Great Britain and Northern Ireland","UK OFFSHORE NON OPERATED","Tax",596370
"1112","BG Group Ltd","Brazil","BM-S-11","Royalties",341644000
"1113","Total Sa","Nigeria","OPL223","Infrastructure",390000
"1114","ROYAL DUTCH SHELL PLC","Nigeria","PSC 1993 (OPL212/OML118, OPL219/OML135)","Royalties",37424320
"1115","ROYAL DUTCH SHELL PLC","United Kingdom of Great Britain and Northern Ireland","UK OFFSHORE OPERATED","Fees",910161
"1116","Tullow Oil PLC","Norway","PL 550","Fees",1369984
"1117","FRESNILLO PLC","Mexico","Herradura / Nochebuena","Tax",8739477
"1118","ROYAL DUTCH SHELL PLC","United Kingdom of Great Britain and Northern Ireland","UK OFFSHORE OPERATED","Tax",1385824
"1119","ROYAL DUTCH SHELL PLC","Iraq","WEST QURNA","Tax",7613250
"1120","BP P.L.C.","United States of America","Colorado","Production Entitlements",33229413
"1121","ROYAL DUTCH SHELL PLC","United States of America","GULF OF MEXICO (WEST)","Royalties",163352599
"1122","ROYAL DUTCH SHELL PLC","United States of America","GULF OF MEXICO EXPLORATION","Fees",53429642
"1123","BP P.L.C.","Egypt","Gulf of Suez","Tax",136147645
"1124","BP P.L.C.","Angola","Block 15","Tax",118558137
"1125","BP P.L.C.","Angola","Block 19","Bonuses",4e+06
"1126","BP P.L.C.","Angola","Block 24","Tax",3e+05
"1127","Total Sa","United States of America","Barnett Shale","Tax",5877000
"1128","Tullow Oil PLC","Kenya","Block 13T","Fees",18876
"1129","BP P.L.C.","Iraq","Rumaila","Infrastructure",6612850
"1130","JKX Oil & Gas plc","Ukraine","Novo-Nikolaevskoye Complex","Royalties",20117000
"1131","FRESNILLO PLC","Mexico","Saucito","Fees",5236547
"1132","Exillon Energy Plc","Russian Federation","Vostochno-Vozeiskoye oil field","Tax",5938000
"1133","BP P.L.C.","Angola","Block 31","Tax",134779684
"1134","Total Sa","Norway","Garantiana","Fees",1424000
"1135","BP P.L.C.","United Arab Emirates","Bunduq Concession","Tax",827211
"1136","Total Sa","Gabon","Avocette CEPP","Fees",1873000
"1137","BP P.L.C.","Australia","NORTH WEST SHELF","Royalties",129922977
"1138","Premier Oil Plc","Pakistan","Qadipur","Royalties",1834000
"1139","EQUION ENERGIA LIMITED","Colombia","Piedemonte","Royalties",139022049
"1140","BP P.L.C.","Australia","NORTH WEST SHELF","Tax",46729953
"1141","EQUION ENERGIA LIMITED","Colombia","Recetor","Royalties",14892296
"1142","BP P.L.C.","Angola","Block 24","Bonuses",1e+07
"1143","BP P.L.C.","Indonesia","Sanga - Sanga","Tax",38938903
"1144","BP P.L.C.","Azerbaijan","Azeri-Chirag-Deepwater Guneshli - PSA","Production Entitlements",7193742624
"1145","BP P.L.C.","Angola","Block 31","Production Entitlements",1352101305
"1146","FRESNILLO PLC","Mexico","Comercializadora de Metales Fresnillo, S.A. de C.V.","Tax",1322321
"1147","Total Sa","Canada","Surmont","Royalties",2450000
"1148","BP P.L.C.","Azerbaijan","Shafag-Asiman PSA","Fees",2118000
"1149","Vedanta Resources","India","TSPL","Royalties",2480000
"1150","BG Group Ltd","Kenya","L10A","Fees",275000
"1151","Total Sa","United Arab Emirates","Abu Dhabi Gas Industries Ltd (GASCO)","Fees",2344000
"1152","BP P.L.C.","Azerbaijan","Shah Deniz","Tax",78837706
"1153","Vedanta Resources","India","CIL-KG-OSN","Tax",14340000
"1154","Total Sa","Norway","Atla","Fees",2276000
"1155","BP P.L.C.","Brazil","BM-C-32 (C-M-61/ Itaipu)","Fees",404530
"1156","Vedanta Resources","United States of America","VEDL-Corp","Tax",1420000
"1157","BP P.L.C.","Brazil","BM-C-34 (C-M-471)","Fees",281579
"1158","BP P.L.C.","Brazil","BM-POT-17 (POT-M-665)","Fees",76458643
"1159","Acacia Mining","Tanzania, United Republic of","Buzwagi gold mine","Royalties",8403000
"1160","Total Sa","Gabon","Baudroie Mérou CEPP","Bonuses",1e+06
"1161","BP P.L.C.","Egypt","Baltim","Tax",25923426
"1162","Tethys Petroleum Limited","Kazakhstan","Akulka Oil","Infrastructure",54276
"1163","BP P.L.C.","Egypt","El Matareya","Bonuses",375000
"1164","Total Sa","Angola","Block 14k","Production Entitlements",420000
"1165","Tethys Petroleum Limited","Kazakhstan","Kyzloi Gas","Bonuses",306171
"1166","BP P.L.C.","Angola","Block 18","Tax",145123842
"1167","BP P.L.C.","Egypt","North El-max","Bonuses",250000
"1168","BP P.L.C.","Egypt","Ras El Bar","Tax",61560617
"1169","BG Group Ltd","Trinidad and Tobago","NCMA","Production Entitlements",95818000
"1170","EQUION ENERGIA LIMITED","Colombia","Río Chitamena","Royalties",754803
"1171","BP P.L.C.","Egypt","South Belayim","Tax",18822456
"1172","Ferrexpo PLC","Ukraine","FXPO UKR","Royalties",13713878
"1173","BP P.L.C.","Egypt","Temsah","Tax",75307176
"1174","BP P.L.C.","United Kingdom of Great Britain and Northern Ireland","Shetland","Fees",4218090
"1175","BP P.L.C.","Angola","Block 25","Bonuses",2142857
"1176","BP P.L.C.","Indonesia","Tangguh","Tax",294910595
"1177","BP P.L.C.","Indonesia","Tanjung CBM","Fees",1200000
"1178","BP P.L.C.","Angola","Block 31","Fees",448078
"1179","BP P.L.C.","India","KG D6  KG-DWN-98/3","Production Entitlements",2100677
"1180","BP P.L.C.","India","KG D6  KG-DWN-98/3","Tax",20995449
"1181","Total Sa","Venezuela, Bolivarian Republic of","Yucal Placer","Tax",491000
"1182","FRESNILLO PLC","Mexico","Fresnillo","Tax",49989
"1183","BP P.L.C.","Uruguay","Block 11","Fees",1e+05
"1184","FRESNILLO PLC","Mexico","Fresnillo","Fees",6958611
"1185","ROYAL DUTCH SHELL PLC","Germany","SHELL ERDGAS BETEILIGUNGSGESELLSCHAFT mbH","Tax",2125909
"1186","BP P.L.C.","Uruguay","Block 6","Fees",1e+05
"1187","FRESNILLO PLC","Mexico","Herradura / Nochebuena","Fees",7890079
"1188","BP P.L.C.","United States of America","Arkansas","Royalties",288694
"1189","ROYAL DUTCH SHELL PLC","Canada","GREATER DEEP BASIN","Infrastructure",359982
"1190","FRESNILLO PLC","Mexico","Fresnillo plc","Tax",2270438
"1191","EnQuest PLC","Malaysia","Tanjong Baram","Infrastructure",1e+05
"1192","FRESNILLO PLC","Mexico","Operaciones Fresnillo, S.A. de C.V.","Tax",1073672
"1193","Tullow Oil PLC","Netherlands","E14","Fees",65119
"1194","Glencore plc","Australia","Western Australian Project - Murrin Murrin Nickel","Royalties",12547618
"1195","BP P.L.C.","United States of America","Delaware","Royalties",252535
"1196","Nord Gold SE","Russian Federation","Mine Aprelkovo CJSC","Tax",1137945
"1197","EVRAZ PLC","Russian Federation","Evrazruda","Tax",1149187
"1198","BP P.L.C.","United States of America","Gulf of Mexico - Central","Fees",10906560
"1199","Tullow Oil PLC","Netherlands","E15b","Fees",3108
"1200","FRESNILLO PLC","Peru","Fresnillo Perú, S.A.C.","Fees",1417328
"1201","Anglo American plc","South Africa","Masa Chrome Company (Pty) Ltd","Tax",3615977
"1202","BP P.L.C.","United States of America","Gulf of Mexico - Central","Royalties",442028324
"1203","BP P.L.C.","United States of America","Gulf of Mexico - Western","Fees",10786525
"1204","Anglo American plc","Australia","Moranbah North","Tax",4401609
"1205","Anglo American plc","South Africa","Corporate-Mafube Coal Mining (Proprietary) Limited","Tax",19272677
"1206","BP P.L.C.","United States of America","Louisiana","Tax",5602639
"1207","Glencore plc","Chad","Krim EXA","Bonuses",2e+06
"1208","BP P.L.C.","United States of America","New Mexico","Royalties",1857048
"1209","BP P.L.C.","United Kingdom of Great Britain and Northern Ireland","Exploration","Fees",490995
"1210","BP P.L.C.","United States of America","Wyoming","Tax",17649564
"1211","BG Group Ltd","Australia","Corporate","Fees",793000
"1212","BG Group Ltd","Australia","QCLNG","Royalties",2936000
"1213","BG Group Ltd","Australia","QCLNG","Fees",12801000
"1214","BG Group Ltd","Australia","QCLNG","Infrastructure",24195000
"1215","BP P.L.C.","United Kingdom of Great Britain and Northern Ireland","Bruce","Tax",15309463
"1216","BG Group Ltd","Brazil","Barreirinhas Basin","Fees",771000
"1217","BG Group Ltd","Egypt","WDDM","Production Entitlements",440795000
"1218","Total Sa","Nigeria","OML99 (joint venture with NNPC, operated)","Tax",41401000
"1219","BG Group Ltd","Egypt","Rosetta","Production Entitlements",36224000
"1220","Total Sa","Qatar","Qatargas 1","Tax",39650000
"1221","BG Group Ltd","India","Corporate","Tax",23502000
"1222","Hunting Plc","United States of America","South Pelto 25","Royalties",43233
"1223","Antofagasta plc","","Encuentro","Fees",629000
"1224","BG Group Ltd","Uruguay","Block 9","Fees",1e+05
"1225","Vedanta Resources","India","HZL-SK Mine","Royalties",40890000
"1226","BG Group Ltd","India","Tapti","Royalties",2662000
"1227","Ophir Energy Plc","Equatorial Guinea","Block R","Infrastructure",76000
"1228","BG Group Ltd","Uruguay","Block 13","Fees",1e+05
"1229","BG Group Ltd","Kazakhstan","Karachaganak","Tax",194629000
"1230","BG Group Ltd","Kenya","L10B","Fees",253000
"1231","Total Sa","United States of America","Gulf of Mexico","Bonuses",3600000
"1232","Green Dragon Gas Ltd","China","Qinyan (GQY)","Fees",85000
"1233","Total Sa","Yemen","Block 5","Tax",3426000
"1234","BG Group Ltd","Norway","PL373S","Fees",768000
"1235","JX Nippon Exploration and Production (U.K.) Limited","United Kingdom of Great Britain and Northern Ireland","East Brae Project","Tax",435043
"1236","BG Group Ltd","Tanzania, United Republic of","Block 1","Fees",311000
"1237","Anglo American plc","Brazil","Cubatao","Fees",959
"1238","Ferrexpo PLC","Ukraine","FXPO UKR","Tax",12293992
"1239","BG Group Ltd","Tunisia","Miskar","Royalties",21179000
"1240","Anglo American plc","Australia","Foxleigh","Fees",256682
"1241","Anglo American plc","Canada","Gahcho Kué","Fees",749720
"1242","BG Group Ltd","United Kingdom of Great Britain and Northern Ireland","Corporate","Tax",3.95e+08
"1243","BG Group Ltd","United Kingdom of Great Britain and Northern Ireland","Central North Sea","Fees",339000
"1244","Hochschild Mining plc","Peru","Compañía Minera Ares S.A.C.","Royalties",2279027
"1245","Hochschild Mining plc","Peru","Ares","Fees",196765
"1246","Hochschild Mining plc","Argentina","Minera Santa Cruz S.A.","Tax",9881828
"1247","Hochschild Mining plc","Argentina","Minera Santa Cruz S.A.","Royalties",4793480
"1248","Total Sa","Gabon","Coucal CEPP","Tax",1728000
"1249","Hochschild Mining plc","Argentina","Minera Santa Cruz S.A.","Fees",1333728
"1250","BP P.L.C.","Azerbaijan","Azeri-Chirag-Deepwater Guneshli - PSA","Tax",158699481
"1251","Hochschild Mining plc","Chile","Andina Minerals Chile Ltd","Fees",235204
